structure_id,endpoint,assay_family,measurements,sources,median_p_activity,min_p_activity,max_p_activity,sd_p_activity,range_log10
STR-E60731CF852256103E11,IC50,in_vivo,2,1,5.6848877946237835,5.356547323513812,6.013228265733755,0.46434354731969285,0.6566809422199427
STR-2FF2DB436296505D61BF,IC50,biochemical_inhibition,3,2,7.943095148663527,7.309803919971486,7.958607314841775,0.37019009820024185,0.6488033948702885
STR-9AA3FF70960D58F79546,IC50,biochemical_binding,2,1,7.029244283682798,6.721246399047171,7.337242168318426,0.435574785633928,0.6159957692712545
STR-9AA3FF70960D58F79546,IC50,biochemical_inhibition,6,2,7.053396623470076,6.721246399047171,7.337242168318426,0.3290486757639964,0.6159957692712545
STR-93B1E6E77462AC33263F,IC50,cellular_functional,2,1,5.150297959092331,4.844663962534939,5.455931955649724,0.4322317430537565,0.6112679931147857
STR-0E08AB70F62669D82631,IC50,in_vivo,2,1,7.594883741002458,7.301029995663981,7.8887374863409345,0.4155719520118033,0.5877074906769533
STR-CA5FBB5B185EEEDFCC44,IC50,biochemical_inhibition,2,1,7.832773124424534,7.568636235841012,8.096910013008056,0.37354597015784796,0.528273777167044
STR-CA5FBB5B185EEEDFCC44,IC50,biochemical_binding,4,2,7.832773124424534,7.568636235841012,8.096910013008056,0.30499900745321323,0.528273777167044
STR-83AFBD5BD9110FDF3CA3,IC50,biochemical_inhibition,2,1,4.511321135227349,4.247951552180561,4.774690718274137,0.3724608362613143,0.5267391660935754
STR-83AFBD5BD9110FDF3CA3,IC50,biochemical_binding,4,2,4.511321135227349,4.247951552180561,4.774690718274137,0.30411299933684477,0.5267391660935754
STR-595841CB737450AE406D,IC50,biochemical_inhibition,2,1,6.667679012221937,6.414539270491499,6.920818753952375,0.3579936559308079,0.5062794834608759
STR-FDB4878ADB13F8D5ACDD,IC50,biochemical_binding,2,1,6.286907087377744,6.036212172654444,6.537602002101044,0.3545361484196573,0.5013898294465999
STR-73FF471D050BDA8F68BB,IC50,biochemical_inhibition,2,2,3.831270369354672,3.6020599913279625,4.060480747381382,0.3241524252420368,0.45842075605341925
STR-F56D36E1BD6B0DD11077,IC50,biochemical_inhibition,2,1,5.77642098432889,5.552841968657781,6.0,0.3161884762241101,0.44715803134221943
STR-F56D36E1BD6B0DD11077,IC50,biochemical_binding,4,2,5.77642098432889,5.552841968657781,6.0,0.25816680976573353,0.44715803134221943
STR-2427F8EACDBEB2183A48,IC50,biochemical_inhibition,3,2,7.173925197299173,6.732828271596986,7.173925197299173,0.254667428792874,0.44109692570218684
STR-2427F8EACDBEB2183A48,IC50,biochemical_binding,2,1,6.95337673444808,6.732828271596986,7.173925197299173,0.31190262732455504,0.44109692570218684
STR-5F8EB84C6E43AC1304EA,IC50,biochemical_inhibition,2,1,7.887345359137068,7.67778070526608,8.096910013008056,0.29636917569837473,0.41912930774197665
STR-00A027FA7AA847AAD8CD,IC50,biochemical_inhibition,2,1,7.0467247404492745,6.84163750790475,7.251811972993799,0.2900371457340317,0.41017446508904953
STR-466A031256A2621A45EE,IC50,biochemical_binding,4,2,4.268426931636825,4.080921907623926,4.455931955649724,0.21651215217650902,0.37501004802579807
STR-466A031256A2621A45EE,IC50,biochemical_inhibition,2,1,4.268426931636825,4.080921907623926,4.455931955649724,0.2651721479721347,0.37501004802579807
STR-82F62D7E24DAAC315910,IC50,biochemical_binding,2,1,6.789198036565084,6.619788758288394,6.958607314841775,0.23958089893073345,0.338818556553381
STR-E7F31BDBEA50095CCF5A,IC50,biochemical_inhibition,3,2,4.522878745280337,4.522878745280337,4.853871964321762,0.1910990241135071,0.3309932190414244
STR-062343CE45A5FA8286D4,IC50,in_vivo,2,1,7.659379381312206,7.494850021680094,7.823908740944319,0.23267965180029387,0.3290587192642249
STR-4B497AB49DA0E85C14C0,IC50,biochemical_binding,2,1,3.612741517135725,3.4559319556497243,3.769551078621726,0.22176220856328005,0.31361912297200156
STR-EBE5F8EBBB91D5D79ECA,IC50,biochemical_binding,4,2,4.3277056287106435,4.173925197299174,4.481486060122113,0.17757034694301735,0.30756086282293893
STR-EBE5F8EBBB91D5D79ECA,IC50,biochemical_inhibition,2,1,4.3277056287106435,4.173925197299174,4.481486060122113,0.21747837172968565,0.30756086282293893
STR-949A51086BAD4A70A662,IC50,biochemical_inhibition,3,2,4.2839966563652006,4.070581074285707,4.376750709602099,0.15699754279179817,0.3061696353163921
STR-949A51086BAD4A70A662,IC50,biochemical_binding,4,2,4.223665891943903,4.070581074285707,4.376750709602099,0.1767671213676085,0.3061696353163921
