table,field,evidence_domain,missing_rows,denominator_rows,missing_rate
observations,conflict_group_id,qt,1200,1200,1.0
observations,construct_id,binding,2706128,2706128,1.0
observations,construct_id,herg,40860,40860,1.0
observations,construct_id,other,325961,325961,1.0
observations,construct_id,pk_adme,864223,864223,1.0
observations,construct_id,qt,1200,1200,1.0
observations,cross_source_mirror,binding,0,2706128,0.0
observations,cross_source_mirror,herg,0,40860,0.0
observations,cross_source_mirror,other,0,325961,0.0
observations,cross_source_mirror,pk_adme,0,864223,0.0
observations,cross_source_mirror,qt,0,1200,0.0
observations,dedup_group_id,binding,0,2706128,0.0
observations,dedup_group_id,herg,0,40860,0.0
