connectivity_key,connectivity_group_size,structure_id,standard_inchi_key,standardized_smiles,p_activity_median,series_id,sources,compound_ids
UDIGWQWOIBIODT,3,STR-6BB8114D41C4FAE5B067,UDIGWQWOIBIODT-UHFFFAOYSA-N,CCN(C(=O)c1cc(F)ccc1Oc1nncnc1N1CCC2(C1)CN(C(CCCN)C(C)C)C2)C(C)C,7.0,SER-F7B9115420359440,PubChem,156531429
UDIGWQWOIBIODT,3,STR-9DDC4364CC264A5D1AE9,UDIGWQWOIBIODT-HSZRJFAPSA-N,CCN(C(=O)c1cc(F)ccc1Oc1nncnc1N1CCC2(C1)CN([C@H](CCCN)C(C)C)C2)C(C)C,6.886056647693163,SER-F7B9115420359440,PubChem,156531583
UDIGWQWOIBIODT,3,STR-8F7CBFDB7C53A966A008,UDIGWQWOIBIODT-QHCPKHFHSA-N,CCN(C(=O)c1cc(F)ccc1Oc1nncnc1N1CCC2(C1)CN([C@@H](CCCN)C(C)C)C2)C(C)C,5.480172006224281,SER-F7B9115420359440,PubChem,156531431
YLADDJNCJBCBJE,3,STR-458F60594CF32D1C3B3A,YLADDJNCJBCBJE-HHHXNRCGSA-N,N#Cc1ccc(OCCCN2CCC([C@@](O)(c3cccc(F)c3)c3ccccn3)CC2)cc1,7.045757490560675,SER-726F16AD19A1FFEA,ChEMBL,CHEMBL3126194
YLADDJNCJBCBJE,3,STR-97EC0B8AC90C0B7FCB6A,YLADDJNCJBCBJE-UHFFFAOYSA-N,N#Cc1ccc(OCCCN2CCC(C(O)(c3cccc(F)c3)c3ccccn3)CC2)cc1,6.647817481888637,SER-726F16AD19A1FFEA,ChEMBL,CHEMBL3126193
YLADDJNCJBCBJE,3,STR-14DBFF17DA73564FE5B6,YLADDJNCJBCBJE-MHZLTWQESA-N,N#Cc1ccc(OCCCN2CCC([C@](O)(c3cccc(F)c3)c3ccccn3)CC2)cc1,5.853871964321762,SER-726F16AD19A1FFEA,ChEMBL,CHEMBL3126195
YTBQSXQHHWVUTN,3,STR-1D90C1470EBB9030FBBA,YTBQSXQHHWVUTN-BNGNXUGRSA-N,CCN(C(=O)c1cc(F)ccc1Oc1nncnc1N1CCC2(C1)CN([C@H](CCCN(C)C(C)CC(=O)N(C)C)C(C)C)C2)C(C)C,6.886056647693163,SER-F7B9115420359440,PubChem,156497999
YTBQSXQHHWVUTN,3,STR-DA810ABA63D56EF0FE8C,YTBQSXQHHWVUTN-LITSAYRRSA-N,CCN(C(=O)c1cc(F)ccc1Oc1nncnc1N1CCC2(C1)CN([C@H](CCCN(C)[C@@H](C)CC(=O)N(C)C)C(C)C)C2)C(C)C,6.698970004336019,SER-F7B9115420359440,PubChem,156531635
YTBQSXQHHWVUTN,3,STR-0E18A32C09E2471DF027,YTBQSXQHHWVUTN-GGXMVOPNSA-N,CCN(C(=O)c1cc(F)ccc1Oc1nncnc1N1CCC2(C1)CN([C@H](CCCN(C)[C@H](C)CC(=O)N(C)C)C(C)C)C2)C(C)C,6.443697499232712,SER-F7B9115420359440,PubChem,156531634
AKEJRDWFJSZNFQ,2,STR-B437BC949901A5D8DC9A,AKEJRDWFJSZNFQ-HHHXNRCGSA-N,CCCN(C)CCC[C@H](C(C)C)N1CC2(CCN(c3ncnnc3Oc3ccc(F)cc3C(=O)N(CC)C(C)C)C2)C1,7.050609993355087,SER-F7B9115420359440,PubChem,156531749
